Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
60;Recording248;2;1;1CH;YES;00:17,9;0.58;0.14;0;0;0;0;0;00:23,7;2;2;bad quality data (offset);5.8;12.414
60;Recording248;2;2;2AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
60;Recording248;2;3;4CV;YES;01:10,6;0.76;1;0.7;1.1;0;0;0;01:16,7;4;4;;6.1;58.361
60;Recording248;2;4;5AV;YES;01:40,4;0.1;0.46;0;0;0;0;0;01:41,8;2;2;;1.4;40.0
60;Recording248;2;5;3AV;YES;01:44,5;0.36;5.601;0.02;0.8;0;0;0;01:53,1;4;4;3 and 4 together;8.6;78.849
60;Recording248;2;6;3AH;YES;02:04,7;2.02;0.74;0;0;0;0;0;02:11,2;2;2;;6.5;42.462
60;Recording248;2;7;2CV;YES;02:25,0;2.44;0.76;1.08;0.96;0;0;0;02:31,8;1;4;;6.8;77.059
60;Recording248;2;8;6AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
60;Recording247;1;1;1AH;YES;00:13,1;0.72;2.3;0.18;0.26;0.36;0;0;00:23,3;2;5;bad quality data (offset);10.2;37.451
60;Recording247;1;2;3CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
60;Recording247;1;3;2AV;YES;01:09,8;0.38;2.08;0.4;0;0;0;0;01:17,4;2;3;;7.6;37.632
60;Recording247;1;4;5CV;YES;01:41,2;1.24;0.58;0;0;0;0;0;01:45,5;2;2;;4.3;42.326
60;Recording247;1;5;1CV;YES;02:04,1;2.62;0.06;1.14;0.44;0;0;0;02:12,2;1;4;;8.1;52.593
60;Recording247;1;6;6AV;YES;02:20,5;0.18;0;0;0;0;0;0;02:21,7;1;1;;1.2;15.0
60;Recording247;1;7;4AH;YES;02:28,6;1.82;0.2;0;0;0;0;0;02:30,7;2;2;;2.1;96.19
60;Recording247;1;8;6CH;YES;02:41,5;0.4;0;0;0;0;0;0;02:42,8;1;1;;1.3;30.769
60;Recording246;3;1;6CV;YES;00:16,6;0.38;0.26;0;0;0;0;0;00:19,3;2;2;some offset, but better than the 248 and 247;2.7;23.704
60;Recording246;3;2;4CH;YES;00:21,8;0.68;1.16;1.082;0;0;0;0;00:26,6;3;3;1 and 2 together;4.8;60.875
60;Recording246;3;3;5AH;YES;00:42,2;2.36;0;0;0;0;0;0;00:44,9;1;1;;2.7;87.407
60;Recording246;3;4;4AV;YES;01:01,2;3.081;0.6;0;0;0;0;0;01:07,1;2;2;;5.9;62.39
60;Recording246;3;5;5CH;YES;01:14,2;0.28;2.7;0;0;0;0;0;01:20,6;2;2;tries to look behind at the bus stop and then after the bus;6.4;46.563
60;Recording246;3;6;2CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
60;Recording246;3;7;3CV;YES;02:04,6;2.5;1.44;1.34;0;0;0;0;02:10,2;1;3;;5.6;94.286
60;Recording246;3;8;1AV;YES;02:34,9;0.44;0.76;0.5;1.04;0.7;0.32;0;02:45,0;2;6;Note: looks at up mirror after 6th fixation.;10.1;37.228
60;Recording245;2;1;1CH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;bad quality data (offset);0.0;0
60;Recording245;2;2;2AH;YES;00:48,8;0.72;0;0;0;0;0;0;00:55,4;1;1;;6.6;10.909
60;Recording245;2;3;4CV;YES;01:19,1;2.72;1.74;1.26;1.5;1.62;1.18;0;01:32,1;1;6;;13.0;77.077
60;Recording245;2;4;5AV;YES;01:58,6;0.06;0.7;0;0;0;0;0;02:01,4;2;2;;2.8;27.143
60;Recording245;2;5;3AV;YES;02:07,7;1.32;0.48;0;0;0;0;0;02:09,5;2;2;;1.8;100.0
60;Recording245;2;6;3AH;YES;02:22,8;0.76;0.62;1.46;3.061;0.52;1.5;0;02:33,8;4;6;;11.0;72.009
60;Recording245;2;7;2CV;YES;02:47,8;1.68;0.46;0.22;0.26;1.8;0.6;0.96;02:56,3;1;7;;8.5;70.353
60;Recording245;2;8;6AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
