Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
59;Recording244;1;1;1CH;YES;00:15,0;0.42;0.22;1.38;0.46;0;0;0;00:20,6;4;4;quality is ok;5.6;44.286
59;Recording244;1;2;2AH;YES;00:38,7;0.16;0.34;0.26;0.6;2.52;0;0;00:45,3;5;5;;6.6;58.788
59;Recording244;1;3;4CV;YES;01:01,4;0.48;1.7;0;0;0;0;0;01:07,5;2;2;;6.1;35.738
59;Recording244;1;4;5AV;YES;01:23,7;2.892;0;0;0;0;0;0;01:28,3;1;1;long fixation on the side of the road;4.6;62.87
59;Recording244;1;5;3AV;YES;01:45,9;1.8;0.92;0;0;0;0;0;01:50,4;2;2;;4.5;60.444
59;Recording244;1;6;3AH;YES;01:55,9;0.76;1;0;0;0;0;0;01:58,6;2;2;;2.7;65.185
59;Recording244;1;7;2CV;YES;02:05,2;1.56;0;0;0;0;0;0;02:07,7;1;1;;2.5;62.4
59;Recording244;1;8;6AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;was hard to see;0.0;0
59;Recording243;3;1;1AH;YES;00:18,4;0.98;0;0;0;0;0;0;00:20,2;1;1;;1.8;54.444
59;Recording243;3;2;2CH;YES;00:20,7;1.18;0.54;0.64;0;0;0;0;00:25,3;3;3;;4.6;51.304
59;Recording243;3;3;2AV;YES;00:37,9;0.52;0;0;0;0;0;0;00:39,3;1;1;;1.4;37.143
59;Recording243;3;4;5CV;YES;00:52,2;0.3;0.52;0.2;0.46;1.38;0;0;00:57,8;5;5;;5.6;51.071
59;Recording243;3;5;1CV;YES;01:03,4;0.18;0.34;0.52;0.26;0;0;0;01:06,5;4;4;tries to look at bus stop and then after the bus;3.1;41.935
59;Recording243;3;6;6AV;YES;01:21,9;0.9;0.38;0.4;0.5;0.24;0;0;01:27,6;5;5;;5.7;42.456
59;Recording243;3;7;4AH;YES;01:43,6;3.857;0;0;0;0;0;0;01:48,7;1;1;;5.1;75.627
59;Recording243;3;8;6CH;YES;02:07,5;0.26;0.22;1.26;0.94;0;0;0;02:12,9;4;4;;5.4;49.63
59;Recording242;2;1;6CV;YES;00:15,6;1.88;0;0;0;0;0;0;00:18,2;1;1;;2.6;72.308
59;Recording242;2;2;4CH;YES;00:38,2;0.34;0;0;0;0;0;0;00:41,4;1;1;lost it;3.2;10.625
59;Recording242;2;3;5AH;YES;00:59,7;0.6;1.52;0.44;0;0;0;0;01:03,3;3;3;;3.6;71.111
59;Recording242;2;4;4AV;YES;01:19,9;0.6;0;0;0;0;0;0;01:23,7;1;1;look in front of bus stop, does it count?;3.8;15.789
59;Recording242;2;5;5CH;YES;01:24,9;0.22;0.28;1.44;0.6;0.32;0;0;01:30,7;5;5;;5.8;49.31
59;Recording242;2;6;2CH;YES;01:40,9;0.46;0.58;0.32;0;0;0;0;01:46,2;3;3;;5.3;25.66
59;Recording242;2;7;3CV;YES;01:53,9;0.74;1;0;0;0;0;0;01:58,8;2;2;;4.9;35.51
59;Recording242;2;8;1AV;YES;02:08,5;0.28;0.1;0.86;0;0;0;0;02:10,8;3;3;;2.3;53.913
59;Recording241;1;1;1CH;YES;00:14,6;3.001;0;0;0;0;0;0;00:17,8;1;1;;3.2;93.781
59;Recording241;1;2;2AH;YES;00:35,8;0.72;1.24;0.14;0;0;0;0;00:42,6;3;3;;6.8;30.882
59;Recording241;1;3;4CV;YES;00:42,6;0.24;0.64;1.96;0;0;0;0;01:03,1;3;3;;20.5;13.854
59;Recording241;1;4;5AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
59;Recording241;1;5;3AV;YES;01:40,5;3.041;0;0;0;0;0;0;01:44,5;1;1;;4.0;76.025
59;Recording241;1;6;3AH;YES;01:49,7;0.32;0.12;0.52;0.18;0.06;0;0;01:51,8;5;5;;2.1;57.143
59;Recording241;1;7;2CV;YES;01:59,2;1.02;0.04;0;0;0;0;0;02:00,5;2;2;;1.3;81.538
59;Recording241;1;8;6AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;really hard to see;0.0;0
