Participant;Record_Name;Track;Hazard_number;Hazard_type;Seen;First fixation time;First fixation;Second fixation;Third fixation;Fouth fixation;Fifth fixation;Sixth fixation;Seventh fixation;Cross event;Detections;Fixations;Remarks;Detection laps;Percentage of fixation during hazard
11;Recording050;2;1;1CH;CRASH;00:24,9;5.021;2.58;0.26;0;0;0;0;00:34,6;3;3;Mesh are not activated;9.7;81.041
11;Recording050;2;2;2AH;CRASH;00:56,2;0.46;1.4;0;0;0;0;0;01:02,3;2;2;Mesh are not activated;6.1;30.492
11;Recording050;2;3;4CV;CRASH;01:20,5;2.3;1.06;0.7;0.86;0;0;0;01:26,8;4;4;Mesh are not activated;6.3;78.095
11;Recording050;2;4;5AV;CRASH;01:49,5;0.58;0.18;0;0;0;0;0;01:52,9;2;2;Mesh are not activated;3.4;22.353
11;Recording050;2;5;3AV;CRASH;01:53,9;1.859;0.06;0.46;0.14;0;0;0;01:59,5;4;4;Mesh are not activated;5.6;44.982
11;Recording050;2;6;3AH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;Mesh are not activated;0.0;0
11;Recording050;2;7;2CV;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;Mesh are not activated;0.0;0
11;Recording050;2;8;6AH;CRASH;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;Mesh are not activated;0.0;0
11;Recording049;1;1;1AH;YES;00:30,2;0.68;4.621;0.98;0.3;0;0;0;00:41,7;2;4;;11.5;57.226
11;Recording049;1;2;3CH;YES;01:02,9;1.78;0.7;0.46;0.9;0.28;0;0;01:10,2;5;5;;7.3;56.438
11;Recording049;1;3;2AV;YES;01:27,8;0.26;1.22;1.86;0.34;0;0;0;01:36,2;4;4;;8.4;43.81
11;Recording049;1;4;5CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
11;Recording049;1;5;1CV;YES;02:14,9;0.4;0.52;0.88;3.561;0;0;0;02:24,5;4;4;;9.6;55.844
11;Recording049;1;6;6AV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
11;Recording049;1;7;4AH;YES;02:41,4;2.3;0.16;0;0;0;0;0;02:43,9;2;2;;2.5;98.4
11;Recording049;1;8;6CH;YES;02:54,5;0.92;0.06;0;0;0;0;0;02:56,2;2;2;;1.7;57.647
11;Recording048;3;1;6CV;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
11;Recording048;3;2;4CH;YES;00:35,9;4.461;0.18;0;0;0;0;0;00:41,8;2;2;;5.9;78.661
11;Recording048;3;3;5AH;YES;00:57,8;0.1;0.1;0.08;0;0;0;0;00:58,9;3;3;;1.1;25.455
11;Recording048;3;4;4AV;YES;01:12,0;0.82;1.86;1.92;0.84;0;0;0;01:19,3;4;4;;7.3;74.521
11;Recording048;3;5;5CH;YES;01:28,3;1;0;0;0;0;0;0;01:29,8;1;1;;1.5;66.667
11;Recording048;3;6;2CH;YES;01:46,8;1.62;0.9;0.02;0.88;0.06;0;0;01:53,2;5;5;;6.4;54.375
11;Recording048;3;7;3CV;YES;02:10,3;0.46;1.04;0.6;0;0;0;0;02:14,1;3;3;;3.8;55.263
11;Recording048;3;8;1AV;YES;02:36,9;2.209;2.58;0;0;0;0;0;02:43,7;2;2;;6.8;70.426
11;Recording047;2;1;1CH;YES;00:33,1;3.381;0.16;0;0;0;0;0;00:38,8;2;2;;5.7;62.123
11;Recording047;2;2;2AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;;0.0;0
11;Recording047;2;3;4CV;YES;01:25,5;5.601;0.24;0;0;0;0;0;01:31,8;2;2;;6.3;92.714
11;Recording047;2;4;5AV;YES;01:54,9;0.42;0.1;0.06;0.08;0;0;0;01:56,8;4;4;;1.9;34.737
11;Recording047;2;5;3AV;YES;01:59,6;0.86;1.18;0.26;0;0;0;0;02:05,3;3;3;;5.7;40.351
11;Recording047;2;6;3AH;YES;02:16,4;1.1;0.12;1.34;0.54;1.09;0.223;0.223;02:24,0;7;7;;7.6;61.0
11;Recording047;2;7;2CV;YES;02:33,3;0.98;2.02;0;0;0;0;0;02:39,0;2;2;;5.7;52.632
11;Recording047;2;8;6AH;NO;00:00,0;0;0;0;0;0;0;0;00:00,0;0;0;hard to see;0.0;0
